customer_id,total_sales,order_count,quantity_sold,gender,age,city,customer_match
117,4100000,5,48,F,65,성남,both
102,3996000,4,35,M,60,고양,both
83,3880000,4,39,F,22,수원,both
30,3590000,5,32,F,32,서울,both
40,3523000,4,27,M,23,서울,both
20,3191000,2,25,F,20,인천,both
3,3178000,2,26,F,61,성남,both
111,3153000,3,38,F,41,광주,both
66,3093000,4,30,F,39,서울,both
147,2990000,2,21,M,19,부산,both
18,2960000,3,28,M,58,고양,both
105,2837000,3,23,M,26,광주,both
38,2834000,2,25,M,55,울산,both
60,2812000,2,20,F,34,성남,both
24,2419000,4,27,F,41,대전,both
56,2411000,3,21,F,21,인천,both
32,2389000,2,26,F,31,고양,both
106,2343000,2,18,M,38,부산,both
128,2330000,2,15,F,41,고양,both
107,2325000,2,21,F,47,고양,both
135,2170000,2,15,F,28,대구,both
37,2122000,2,18,M,65,고양,both
65,2107000,3,17,F,33,인천,both
16,2058000,2,12,M,52,부산,both
87,2022000,2,22,M,31,울산,both
5,2004000,2,13,F,19,부산,both
126,1961000,3,27,M,53,서울,both
114,1956000,3,18,F,60,성남,both
130,1942000,2,27,F,37,대전,both
23,1931000,1,16,M,58,대전,both
33,1913000,2,22,M,31,수원,both
43,1863000,1,13,M,42,고양,both
90,1831000,3,21,M,36,울산,both
78,1829000,3,17,F,21,울산,both
63,1675000,2,15,M,60,대전,both
144,1626000,1,12,M,22,광주,both
77,1625000,2,15,M,64,서울,both
50,1620000,2,12,F,58,광주,both
108,1591000,3,15,F,22,성남,both
47,1587000,3,16,F,36,울산,both
13,1549000,1,17,F,23,울산,both
8,1532000,2,19,M,32,수원,both
104,1496000,2,15,M,33,광주,both
125,1470000,2,17,M,28,수원,both
93,1460000,2,17,F,65,대전,both
121,1445000,2,13,M,34,서울,both
123,1436000,1,14,M,20,서울,both
137,1395000,2,12,M,68,울산,both
6,1349000,2,14,F,32,성남,both
39,1298000,1,19,M,32,대구,both
149,1295000,1,10,M,20,부산,both
141,1241000,1,8,M,40,광주,both
41,1229000,1,15,F,27,대구,both
84,1197000,1,13,F,21,성남,both
7,1173000,1,9,F,53,인천,both
115,1173000,1,10,M,60,부산,both
129,1142000,1,15,F,45,대구,both
9,1132000,2,10,M,69,서울,both
133,1098000,1,13,M,67,성남,both
119,1064000,1,8,F,63,대전,both
58,1059000,1,9,F,66,성남,both
145,1032000,3,12,M,59,성남,both
140,1029000,2,15,M,32,인천,both
124,1000000,2,14,M,67,대구,both
146,1000000,1,5,M,61,성남,both
76,996000,1,9,M,45,울산,both
116,937000,2,17,F,34,부산,both
70,924000,1,6,M,22,성남,both
103,923000,1,13,M,34,인천,both
14,905000,1,11,F,40,대전,both
98,898000,2,10,F,61,인천,both
28,881000,1,5,M,35,성남,both
27,862000,2,6,F,28,수원,both
99,860000,1,10,M,25,고양,both
55,837000,1,8,M,69,광주,both
110,804000,1,10,F,40,부산,both
95,760000,1,5,M,50,성남,both
26,735000,1,5,F,56,대구,both
122,734000,2,9,F,58,울산,both
68,643000,2,12,F,22,서울,both
4,603000,1,6,F,55,울산,both
113,579000,1,3,M,57,성남,both
86,569000,1,7,F,44,수원,both
21,526000,1,5,M,23,인천,both
22,512000,1,9,F,42,광주,both
36,471000,1,6,F,65,성남,both
91,456000,2,4,M,27,인천,both
12,396000,1,5,F,66,대전,both
71,394000,1,2,F,35,수원,both
138,350000,1,7,F,35,대구,both
118,344000,1,4,F,35,광주,both
31,306000,1,3,M,43,광주,both
62,292000,1,3,F,63,광주,both
148,271000,1,2,M,29,고양,both
92,267000,1,3,M,31,서울,both
49,262000,1,6,M,50,대구,both
15,252000,1,2,M,69,서울,both
69,130000,2,8,F,22,서울,both
80,118000,1,2,F,30,인천,both
112,112000,2,8,F,46,성남,both
