product_id,product_name,category,total_sales,quantity_sold,order_count,customer_count
41,스포츠 상품 041,스포츠,5705000,35,12,11
12,식품 상품 012,식품,4375000,25,7,7
9,스포츠 상품 009,스포츠,3860000,20,6,5
72,뷰티 상품 072,뷰티,3780000,20,6,6
71,전자기기 상품 071,전자기기,3703000,23,5,5
68,스포츠 상품 068,스포츠,3640000,26,8,8
81,전자기기 상품 081,전자기기,3630000,22,6,6
11,패션 상품 011,패션,3565000,31,7,7
22,생활용품 상품 022,생활용품,3248000,29,8,8
89,생활용품 상품 089,생활용품,3090000,30,11,11
53,생활용품 상품 053,생활용품,3008000,16,4,4
73,도서 상품 073,도서,2964000,26,8,8
18,스포츠 상품 018,스포츠,2834000,26,11,11
58,식품 상품 058,식품,2758000,14,6,5
62,뷰티 상품 062,뷰티,2745000,15,6,6
49,전자기기 상품 049,전자기기,2737000,17,3,3
64,식품 상품 064,식품,2646000,18,4,4
27,전자기기 상품 027,전자기기,2465000,17,5,5
74,뷰티 상품 074,뷰티,2465000,17,5,5
38,생활용품 상품 038,생활용품,2249000,13,5,5
100,도서 상품 100,도서,2244000,22,7,7
77,전자기기 상품 077,전자기기,2201000,31,7,7
99,뷰티 상품 099,뷰티,2200000,11,3,3
51,전자기기 상품 051,전자기기,2109000,19,6,6
82,생활용품 상품 082,생활용품,2100000,28,8,8
3,전자기기 상품 003,전자기기,1976000,13,5,5
48,식품 상품 048,식품,1943000,29,8,8
37,뷰티 상품 037,뷰티,1930000,10,4,4
20,스포츠 상품 020,스포츠,1920000,24,8,8
40,도서 상품 040,도서,1914000,11,4,4
96,생활용품 상품 096,생활용품,1904000,17,4,4
92,식품 상품 092,식품,1887000,17,5,5
39,식품 상품 039,식품,1848000,24,9,9
79,뷰티 상품 079,뷰티,1848000,11,3,3
52,스포츠 상품 052,스포츠,1824000,12,4,4
93,전자기기 상품 093,전자기기,1780000,20,7,7
24,스포츠 상품 024,스포츠,1764000,9,3,3
7,도서 상품 007,도서,1704000,12,5,5
16,스포츠 상품 016,스포츠,1701000,21,7,7
69,도서 상품 069,도서,1570000,10,4,4
91,스포츠 상품 091,스포츠,1534000,26,9,9
31,뷰티 상품 031,뷰티,1530000,10,3,3
67,뷰티 상품 067,뷰티,1476000,12,3,3
54,스포츠 상품 054,스포츠,1442000,14,5,5
44,생활용품 상품 044,생활용품,1416000,8,3,3
34,전자기기 상품 034,전자기기,1416000,12,3,3
14,패션 상품 014,패션,1392000,8,3,3
57,스포츠 상품 057,스포츠,1267000,7,3,3
45,패션 상품 045,패션,1240000,20,7,7
97,전자기기 상품 097,전자기기,1232000,8,3,3
78,뷰티 상품 078,뷰티,1224000,18,7,7
32,도서 상품 032,도서,1204000,7,5,5
84,스포츠 상품 084,스포츠,1170000,15,5,4
88,생활용품 상품 088,생활용품,1161000,27,7,7
30,생활용품 상품 030,생활용품,1150000,10,3,3
36,도서 상품 036,도서,1134000,9,5,5
5,식품 상품 005,식품,1116000,6,2,2
63,도서 상품 063,도서,1107000,9,4,4
85,생활용품 상품 085,생활용품,1036000,14,4,4
43,뷰티 상품 043,뷰티,985000,5,2,2
4,생활용품 상품 004,생활용품,980000,14,6,6
55,전자기기 상품 055,전자기기,963000,9,4,4
10,스포츠 상품 010,스포츠,935000,17,5,4
90,스포츠 상품 090,스포츠,924000,21,6,6
33,패션 상품 033,패션,868000,7,3,2
26,도서 상품 026,도서,820000,10,3,3
66,전자기기 상품 066,전자기기,819000,21,6,6
15,뷰티 상품 015,뷰티,792000,22,6,6
65,생활용품 상품 065,생활용품,792000,22,7,7
80,패션 상품 080,패션,690000,5,1,1
60,뷰티 상품 060,뷰티,678000,6,3,3
13,패션 상품 013,패션,656000,4,1,1
61,생활용품 상품 061,생활용품,650000,13,3,3
25,생활용품 상품 025,생활용품,648000,4,2,2
59,뷰티 상품 059,뷰티,640000,20,8,7
1,전자기기 상품 001,전자기기,640000,4,2,2
94,도서 상품 094,도서,620000,5,2,2
42,패션 상품 042,패션,616000,22,6,6
70,패션 상품 070,패션,594000,3,2,2
8,스포츠 상품 008,스포츠,567000,3,2,2
46,뷰티 상품 046,뷰티,550000,10,4,4
86,패션 상품 086,패션,516000,6,2,2
17,도서 상품 017,도서,504000,6,2,2
50,뷰티 상품 050,뷰티,460000,20,7,7
23,스포츠 상품 023,스포츠,408000,4,1,1
87,도서 상품 087,도서,400000,16,5,5
83,전자기기 상품 083,전자기기,384000,16,6,5
56,생활용품 상품 056,생활용품,252000,6,2,2
29,패션 상품 029,패션,234000,3,2,2
47,생활용품 상품 047,생활용품,231000,21,6,6
19,패션 상품 019,패션,216000,2,2,2
2,도서 상품 002,도서,204000,6,3,3
75,전자기기 상품 075,전자기기,135000,3,1,1
98,스포츠 상품 098,스포츠,130000,13,4,4
95,전자기기 상품 095,전자기기,120000,6,2,2
35,스포츠 상품 035,스포츠,118000,2,1,1
6,전자기기 상품 006,전자기기,90000,18,6,6
28,뷰티 상품 028,뷰티,80000,16,4,4
